temperature,aqi,festival,current_patients,humidity,day_type,expected_patients_next_6hrs,er_load_category,staff_required,nurses_required,shift_alert,oxygen_level,oxygen_cylinders_needed,icu_bed_risk,icu_beds_to_prepare,ppe_need,ppe_kits_needed
28.239882614641974,114.79652509351688,1,60,27.413406308263035,1,32,1,4,8,Add 1 extra doctor shift,1,18,1,2,2,48
40.91571474101816,239.66533158242535,0,56,30.83800288184039,1,29,1,5,9,Add 1 extra doctor shift,1,19,2,3,1,23
36.10386671985091,355.5310425567429,0,13,86.13153811481557,0,19,0,3,6,Normal staffing,1,21,0,4,2,53
33.1704866523348,306.27871024334644,0,16,71.55746598343548,1,10,0,2,3,Normal staffing,0,12,0,2,2,49
23.432410089733605,332.2964017515074,1,118,81.80956773808411,0,62,2,8,12,Prepare backup staff,2,34,2,6,2,36
23.431879447396458,280.57417834875105,1,44,34.18428438947402,1,32,1,5,7,Add 1 extra doctor shift,2,31,1,5,2,57
21.27783946770039,292.29679758124837,1,57,61.13101097765813,1,32,1,5,8,Add 1 extra doctor shift,2,26,2,3,0,31
39.05587520704857,347.21847804786177,1,82,69.07977160922316,1,46,2,8,11,Prepare backup staff,2,28,2,5,2,36
33.2245302583506,137.38380310071508,1,81,67.60783198128809,1,40,1,6,8,Add 1 extra doctor shift,1,24,2,6,1,36
35.577596711513,221.29873727509917,1,54,48.57061836066887,0,26,1,4,6,Add 1 extra doctor shift,1,15,2,5,2,48
20.452858874507655,127.42330463686078,1,90,21.077642418391594,0,44,2,7,12,Prepare backup staff,2,34,2,5,2,51
41.33801674756387,395.68380279882643,0,90,60.80482397629842,1,54,2,7,10,Prepare backup staff,0,13,0,2,1,35
38.313738097609274,380.42076889031466,1,106,37.71710774257261,0,55,2,6,9,Prepare backup staff,2,27,0,2,1,22
24.671460434922075,63.79938397897706,0,105,51.51779723000232,1,36,1,6,8,Add 1 extra doctor shift,1,17,1,5,1,34
24.000149278556215,296.95131038049095,0,81,87.03067105586722,1,36,1,4,7,Add 1 extra doctor shift,2,34,2,3,0,23
24.034899216775543,373.83691109548306,1,28,47.93247223497043,0,14,0,4,5,Normal staffing,0,13,1,2,0,24
26.69332934510983,113.20137079456674,1,72,78.78611246650988,0,41,2,6,11,Prepare backup staff,2,34,2,6,1,33
31.544641495909232,248.7808306934203,0,47,33.19784240244758,1,28,1,6,6,Add 1 extra doctor shift,2,27,1,5,2,36
29.502790410126547,370.42090415581464,0,76,67.07223486175201,1,37,1,4,8,Add 1 extra doctor shift,2,32,1,2,0,34
26.407041084356923,61.88109250502959,1,68,88.39048681072605,0,24,1,6,7,Add 1 extra doctor shift,1,16,1,4,2,32
33.46076368389235,294.09709353639397,1,78,27.132517061105574,1,37,1,6,8,Add 1 extra doctor shift,2,27,1,5,2,59
23.06886493434492,154.07215258039275,0,22,20.58239595590344,0,9,0,4,6,Normal staffing,1,16,1,4,0,26
26.4271822677748,373.5386683817856,1,56,50.350795484283005,1,35,1,6,8,Add 1 extra doctor shift,1,15,2,6,2,39
28.059960552461217,389.87038580787873,1,119,26.483783813595704,1,60,2,8,9,Prepare backup staff,0,6,2,6,1,34
